Ref #,Activity,Project Title,Country,Delivery Partner,Region,SIDS,LDCs,NAP,Status,Approved Date,Financing,approved_date,financing,year,duration_days,event_closed,event_resolved,state_id,log_financing,velocity,stagnation_flag,bottleneck_flag,financing_outlier_flag,entity_code,entity_name,entity_country,entity_dae,entity_type,entity_stage,entity_bm,entity_size,entity_sector,entity_approved_count,entity_fa_financing,entity_match
MLI-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Country Programming,Mali,SahelEco_MLI,AF,False,True,False,Closed,1 May 2015,41165.0,2015-05-01,41165.0,2015,3956.0,1,1,4,10.625367951918946,10.405712841253791,0,0,0,,,,,,,,,,,,False
ETH-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Ethiopia,MOFED_ETH,AF,False,True,False,Cancelled,11 Jun 2015,72722.0,2015-06-11,72722.0,2015,3915.0,0,1,0,11.194412982125845,18.57522349936143,0,0,0,,,,,,,,,,,,False
TGO-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Togo,CSE,AF,False,True,False,Closed,22 Jun 2015,300000.0,2015-06-22,300000.0,2015,3904.0,1,1,4,12.611541086966115,76.84426229508196,0,0,0,CSE,Centre de Suivi Ecologique,Senegal,True,National,Effectiveness,B.09, Micro,Public,2.0,18371104.64,True
DOM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening National Capacities through the  Climate Change Readiness Support Program in the Dominican Republic ,Dominican Republic (the),FundacionReservas,LAC,True,False,False,Closed,22 Jun 2015,300000.0,2015-06-22,300000.0,2015,3904.0,1,1,4,12.611541086966115,76.84426229508196,0,0,0,,,,,,,,,,,,False
FSM-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Micronesia (Federated States of),SPC,AP,True,False,False,Closed,23 Jun 2015,413110.0,2015-06-23,413110.0,2015,3903.0,1,1,4,12.931471600965464,105.844222393031,0,0,0,SPC,Pacific Community,New Caledonia,True,Regional,Effectiveness,B.22, Small,Public,3.0,57809898.0,True
PwC,Support for direct access entities (ES),Direct Access Entity Support,Benin,PwC_GBR,AF,False,True,False,Closed,26 Jun 2015,37000.0,2015-06-26,37000.0,2015,3900.0,1,1,4,10.518700218288165,9.487179487179487,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Brazil,PwC_GBR,LAC,False,False,False,Closed,26 Jun 2015,37000.0,2015-06-26,37000.0,2015,3900.0,1,1,4,10.518700218288165,9.487179487179487,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Colombia,PwC_GBR,LAC,False,False,False,Closed,26 Jun 2015,37000.0,2015-06-26,37000.0,2015,3900.0,1,1,4,10.518700218288165,9.487179487179487,0,0,0,,,,,,,,,,,,False
PwC,Support for direct access entities (ES),Direct Access Entity Support,Honduras,PwC_GBR,LAC,False,False,False,Closed,26 Jun 2015,37000.0,2015-06-26,37000.0,2015,3900.0,1,1,4,10.518700218288165,9.487179487179487,0,0,0,,,,,,,,,,,,False
COD-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Democratic Republic of the Congo (the),CSE,AF,False,True,False,Closed,2 Jul 2015,300000.0,2015-07-02,300000.0,2015,3894.0,1,1,4,12.611541086966115,77.04160246533128,0,0,0,CSE,Centre de Suivi Ecologique,Senegal,True,National,Effectiveness,B.09, Micro,Public,2.0,18371104.64,True
